year,Marriages,engpop,walpop,totpop,Marriages Per Capita
2018,"234,795",55977200,3138600,59115800,0.003971781
2017,"242,842",55619400,3125200,58744600,0.004133861
2016,"249,793",55268100,3113200,58381300,0.004278647
2015,"245,513",54786300,3099100,57885400,0.004241363
2014,"252,222",54316600,3092000,57408600,0.004393453
2013,"240,854",53865800,3082400,56948200,0.004229352
2012,"263,640",53493700,3074100,56567800,0.004660602
2011,"249,133",53107200,3063800,56171000,0.00443526
2010,"243,808",52642500,3050000,55692500,0.004377753
2009,"232,443",52196400,3038900,55235300,0.004208233
2008,"235,794",51815900,3025900,54841800,0.004299531
2007,"235,367",51381100,3006300,54387400,0.004327602
2006,"239,454",50965200,2985700,53950900,0.004438369
2005,"247,805",50606000,2969300,53575300,0.004625359
2004,"273,069",50194600,2957400,53152000,0.005137511
2003,"270,109",49925500,2937700,52863200,0.005109585
2002,"255,596",49679300,2922900,52602200,0.004859036
2001,"249,227",49449700,2910200,52359900,0.004759883
2000,"267,961",49233300,2906900,52140200,0.00513924
1999,"263,515",49032900,2900600,51933500,0.005074085
1998,"267,303",48820600,2899500,51720100,0.005168261
1997,"272,536",48664800,2894900,51559700,0.005285834
1996,"278,975",48519100,2891300,51410400,0.005426431
1995,"283,012",48383500,2888500,51272000,0.005519816
1994,"291,069",48228800,2887400,51116200,0.005694261
1993,"299,197",48102300,2883600,50985900,0.00586823
1992,"311,564",47998000,2877700,50875700,0.006124024
1991,"306,756",47875000,2873000,50748000,0.006044691
1990,"331,150",47699100,2861500,50560600,0.006549566
1989,"346,697",47552700,2855200,50407900,0.006877831
1988,"348,492",47412300,2841200,50253500,0.006934681
1987,"351,761",47300400,2822600,50123000,0.007017956
1986,"347,924",47187600,2810900,49998500,0.006958689
1985,"346,389",47057400,2803400,49860800,0.006947121
1984,"349,186",46912400,2800700,49713100,0.007024024
1983,"344,334",46820800,2803300,49624100,0.006938846
1982,"342,166",46813700,2804300,49618000,0.006896005
1981,"351,973",46787200,2813500,49600700,0.00709613
1980,"370,022",46777300,2815800,49593100,0.007461159
1979,"368,853",46698100,2810100,49508200,0.007450342
1978,"368,258",46686200,2804300,49490500,0.007440984
1977,"356,954",46682700,2800600,49483300,0.007213626
1976,"358,567",46674400,2799300,49473700,0.007247629
1975,"380,620",46659900,2795400,49455300,0.007696243
1974,"384,389",46639800,2785200,49425000,0.007777218
1973,"400,435",46638200,2772800,49411000,0.008104167
1972,"426,241",46571900,2755200,49327100,0.008641112
1971,"404,737",46411700,2740300,49152000,0.008234395
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
